text,value
rapi bersih cocok banget refreshing keluarga kawan,POSITIF
kampung nelayan pasar pagi ikan segar kuliner keluarga nyaman,POSITIF
tiket masuk ribu parkir ribu roda sedia menu kuliner seafood kecewa segar cumi udang pesan mampir,POSITIF
main air seru,POSITIF
keren cocok jalan anak bawa sepeda klo biar gak capek jalan anak,POSITIF
makan lauk ikan laut murah disiini,POSITIF
tugas pintu b komunikatif minggu siang hrs masuk unt kembali kursi roda pintu a,NEGATIF
kali istri saudara google maps wisata candi prambanan tiket murah view pandang bagus harga makan wisata murah staf ramah,POSITIF
kali main bonbin untung keponakan hebooh pas banget kesini jam siang cuaca cerah sayang pas kesini harimau boci saranin kesini pakai alas kaki nyaman explore dalam jalan ngga gais turun tangga capek taring bawa muter halte foodcorner bawa minum makan bolehin masuk pintu loket cek suhu badan tiket masuk sampah buang sampah sedia glzoo toilet bersih salam lestari,POSITIF
aman parkir motor bilang buruk,NEGATIF
siang panas pantai depok parang tritis tp pandang oh ya kalo kunjung pantai depok parang tritis swa poto jk poto kena biaya foto tugas ribu pinjam motor atp harga ribu menit ya ulas kalo makan sedia sana tinggal pilih aja,POSITIF
cinta seafood tempat beli ikan segar langsung nelayan habis laut pagi warung tepi pantai sedia olah ikan beli selera,NEGATIF
sayang yg buang sampah sembarang,POSITIF
pantai wisata kuliner view lumayan bagus sore lihat sunset,POSITIF
siap bawa bekal minum anak tas geledah bawa makan paksa bekal tinggal kalo beli makan minum harga masuk akal mahal kasihan utk keluarga bawa uang tahan haus lapar bekal udah siap,NEGATIF
tempat mantep banget malam,POSITIF
seru asik,POSITIF
tempat nyaman senang ikan fresh pagi nyobain resto pondok kelapa enak murah,POSITIF
pantai lumayan bagus jalan view bagus pohon pohon yg bentuk lorong rindang tebar sampah plastik pantai pantai renang kejar sunrise sunset rekomended deh view nya pinggir pantai bekas landas pesawat yg jadi swa photo,POSITIF
tempat bagus tp bintang jahat,NEGATIF
segi makan foodcourt gajah resto menu ayam goreng crispy gak fresh keras dingin ayam bakar gak fresh dingin tolong baik biar gak kecewa unjung,NEGATIF
pantai pasir hitam pantai x bersih ombak x lmyn gde pas kmrin ksana,POSITIF
gembiraloka skrg beda bersih nyaman gak rugi main kesini oia utk hrga tiket sdh bebas kereta kapal puas ya sakjelehmu sak puas,POSITIF
ga nyangka aja cakep bangetttt tempat ekspetasi ok banget ukur indonesia uda kaya gin,POSITIF
makan ikan doank pantai indah kalo banding pantai wonosari pantai depok pasar ikan pasar tawar jasa masakin bom warung makan langgan tinggal pilih aja kalo udah warung makan langgan belanja ikan langsung warung area pantai bersih sampah pantai tawar payung tenda tikar duduk sembari pandang laut,POSITIF
pribadi sampah bersih nyaman fokus perhati kelola,NEGATIF
gak kesini lg kemarin pperkembangannya wahana nya tolong lg vegetasi wahana nya panas bgt gak pohon rindang,POSITIF
pantai nya asyik tp sarana hibur kayak kolam renang yg parangtritis saji makan laut,POSITIF
karna mahal,NEGATIF
skrg kotor krg tarik,NEGATIF
sdh bayar tiket mahal nggak bawa makan minum masuk barang bawa tahan pas pulang lupa ya lumayan sih nilai jaja mending water bom sukoharjo bawa makan minum,NEGATIF
makan seafood khas depok,POSITIF
layan tas anak tinggal titip esok hari ambil bantu karyawan pos jaga antar motor layan whatsapp direspon cepat lokasi luas capek keliling terimakasih,POSITIF
pantai bersih pasar ikan jual harga murah,POSITIF
pantai orang orang suka makan seafood beli matengan langsung request masak ya lokasi pantai buka warung serama demi jaga jarak bersih dkk ya kunjung,POSITIF
bagus view nya batu batu alami bagus jalan lokasi sempit tanjak fasilitas mobil jeep bayar rb visit bbrp lokasi wisata candi tebing batu alami layan jeepnya bagus informatif bantu foto foto hasil bagus jeep nya lawas kuatir aja info kece mesin rutin resto silah,POSITIF
copet hp kantong ilang aman payah,NEGATIF
tempat luas htm dewasa ribu protokol sehat candi candi jalan kaki wahana wahana panah kursi gantung sepeda layang rusa rusa makan,POSITIF
candi sejarah yaa ilmu tinggal ajar anak anak klo wisata area jogja jateng diy gunungkidul magelang japri aja antar,POSITIF
pantai yg kenang manis,POSITIF
ttp,NEGATIF
nggak bagus,NEGATIF
harga weekend rb orang anak cm gratis free kereta kapal hewanya gak sebnyak dlu parkir luas karna pandemi buka kantin gak buka,POSITIF
bagus bersih awat sarana edukasi rekreasi bagus anak anak arsip foto pandemi moga temu,POSITIF
kesan bangun sejarah,POSITIF
lokasi mudah temu pinggir ringroad warung luar mall parkir luas prokes laksana padat unjung dpt leluasa belanja dar nongki hal,POSITIF
mall luas banget itung itung work out outletnya banget kesini nyari uniqlo,POSITIF
fasilitas tunggu bayar,NEGATIF
rapi,NEGATIF
masuk mahal rb utk duduk jogja jateng hrg segitu mahal ump bawah jakarta mahal dalam bayar kereta sepeda foto tematik video visual prambanan dll pemda perintah harga lbh jangkau utk masyarakat keruk untung masyarakat tengah kunjung,NEGATIF
pantai datang,POSITIF
harga tiket rp lumayan mahal kalang beda ragunan dijakarta rp kelas kebun binatang,NEGATIF
pelihara hewan maksimal hewan panas lapar makan minum dalam kandang tolong perhati kasi orang hutan macan kuda nil rusa burung unta merak tanam pohon sekitar kandang panas sekian terimakasih moga ubah kunjung aamiin,NEGATIF
pantai selatan pantai parangtritis pasir hitam pantai depok tuju kuliner seafood warung makan khusus saji olah hasil laut tpi lelang ikan parkir pantai luas sedia masuk pantai kena biaya retribusi parkir lokasi pantai belok kanan tpr masuk pantai parangtritis,NEGATIF
pantaimya cocok santai,POSITIF
moga pandemi lekas kasihan warga lupa beli goreng ikan laut mantap just info warga kondisi pantai rame sabtu ahad,POSITIF
kunjung kali kali bosan cerita recommended wisatawan suka selvi,POSITIF
candi prambanan salah destinasi wisata sayang kunjung wisata klaten jogjakarta candi prambanan awat bersih nyaman kunjung keluarga spot foto tarik panggung mentas sendratari ramayana prambanan gelar konser konser taraf nasional internasional tiket masuk sesuai dapat masuk candi prambanan oke banget lokasi asri sejuk fasilitas mushola toilet sedia area candi jalan lewat toko toko sovenir lupa kunjung candi prambanan ya selamat libur,POSITIF
pantai bagus hibur jeep atv bendi kolam renang sewa tikar tempat sejuk bawah pohon cemara santa,POSITIF
kecewa atur,NEGATIF
indah banget,POSITIF
buka tiket masuk jangkau masuk lokasi wajib scan aplikasi pedulilindungi ramai pandang pagi sore cerah indah sedia tugas bantu ambil gambar arah spot pose oke,POSITIF
suka pantai depok ya kuliner sea food nya,POSITIF
kesini kangen suasana jogja,POSITIF
banggga,POSITIF
kurus binatangny rawat,NEGATIF
oke bersih rapi mahal tiket jogja kota ajar kasihan anak desa maaf ekonomi tengah bawah mahal mohon kait kaji ulang wisata edukasi,NEGATIF
aja cm bt selfi,NEGATIF
tempat bagus tiket masuk gak mahal orang spot foto bagus gak dipakein tarif tip seiklasnya recommended tuju wisata jogja,POSITIF
tugas sita makan buruk makan larang masuk titip kasih nomor titip seta ambil udah hilang makan tugas tanggung,NEGATIF
kadang teliti beli jasa masak warung,NEGATIF
pantai depok objek wisata alam letak kabupaten bantul provinsi diy puluh kilometer belah selatan kota yogyakarta pantai damping pantai parangtritis pantai parangkusumo,NEGATIF
pemandanganya bagus enak beli ikan segar lansung masak loh sesuai selera pilih menu makan rumah makan pantai depok,POSITIF
pantai bagus gunung kidul makan seafood enak,POSITIF
pantai indah gugus pantai jdi pantai depok pantai pantai dekat pantai depok,POSITIF
pantai pasir hitam,POSITIF
riah,POSITIF
kunjung muas unjung bayar tiket masuk kondisi jalan becek drainasr layan prima kondisi hujan deras layan gratis kereta keliling pintu tolong perhati layan kondisi cuaca buruk mudah akses transportasi pintu,NEGATIF
not recommended bersih air abis dr kulit ruam parah tolong benah awat bersih air,NEGATIF
nyaman unjung perhati,NEGATIF
parkir mahal harga tiket sesuai fasilitas objek wisata kunjung,NEGATIF
mall oke lengkap malam selasa pulang hartono mmall sayaturis bandung masuk parkir bingung tunjuk tugas security parkir parkson kosong parkir situ curiga pintu lihat bayar rb jam parkir tugas bilang parkir vip kalo atas gga turun basement tarif flat rb ngotot ko ga da kasi tau tulis tugas jaga portal kacamata kulit gelap ngotot bilang tulis pilar depab parkson tulis vip lobi utama tugas ngeyel marah ngotot ngga tulis tulis depan parkson tugas satu arah security jaga pintu masuk males an uap pintu masuk jaga screening security kesal tugas bayar parkir adu mulut ngotot tulis parkson bilang oh ya maaf cek tulis bilang ok gpp ngeyel jd ajak adu argumen,NEGATIF
akses parkir basement payah ngantri masuk parkir basement aja udah jam nyari spot parkir payah,NEGATIF
tebing breksi segi layan parkir toilet mushola foto akses nya mudah segi aman nya covid sana prokes bgt dah pokok aman klo kunjung kesana,POSITIF
satwa awat terkadang satwa lumut,NEGATIF
senang libur keluarga gl zoo anak anak jenis hewan gl zoo main puas,POSITIF
seafood baik harga luarbiasa ramah kantong luar ekspektasi kesan,POSITIF
mantappp for the first time dijogaja kost banget tiket promo k tp karna ga wah buka but its okay muas buka weekend aja alam keren dah moga kesini lg tp pandemi selese wah buka,POSITIF
managemen kecewa janji bus sdh jam masuk bus jam tutup wahana singkat reservasi uang tiket terima warning ujung nya rombong masuk wahana langsung closed operasional uang tiket bus nikmat ganti baju ruang ganti sungguh kecewa,NEGATIF
istimewa wahana renang lengkap besar no asia bersih lokasi mandi bilas,POSITIF
ombak sahut sahut suara dentum ombak tenang angin milir terpa tubuh jadi suasana hati senang,POSITIF
seru poll abis tpi sayang koronces buka menara seluncur doang suka ombak puas deh layan lengkap jg jual sana burger ayam dll,POSITIF
ga bagus tempat mending aja pantai,NEGATIF
spot photo booth photo jd keren mantull,POSITIF
wisata pantai bantuk sedia hasil ikan laut limpah retribusi masuk rb pantau parangtritis,POSITIF
asik seruu murah riah,POSITIF
wisata indah pasir pantai khas lelang ikan langsung masak tempat saran hati hati pilih masak ikan tawar jasa untuj masak ikan tpi,POSITIF
cocok regresing keluarga cinta,POSITIF
pantai ramai libur ken sepi mending weekdays sih kalo pagi jam emang bener syahdu,POSITIF
salah ikon kota jogja borobudur area candi prambanan candi lumbung candi bubrah candi sewu foto candi sewu,POSITIF
pasar ikan beli pasar masak langsung pesan makan,POSITIF
candi prambanan massa pandemik unjung masuk dalam arca kwatirkan rusak,NEGATIF
pantai lengkap bakar ikan suasana sore hmmmm passs buanget,POSITIF
mall jogja susah cari parkir pandemi masuk scan aplikasi pedulilindungi,POSITIF
cocok wisata keluarga buru seafood segar harga miring,POSITIF
sepi enak,POSITIF
pantai depok suasana pantai nya indah pasar ikan belanja ikan laut dimasakin aneka ragam warung rapi hati sen masak sea food nya masak nakal harga wajar nya sedih kena tipu pasar moga berkah uang jual,NEGATIF
nya pantai kotor kelola urus parkir nya sayang,NEGATIF
tarik lengkap,NEGATIF
asik main seluncur bayar loker k,POSITIF
tempat luass kaya sungai gtuuu wahana jg,POSITIF
rame sore pantai sampah nikmat seafood lumayan cumi kg orang kenyang banget jual ikan makan tinggal pilih tutup libur buka jual cocok nya sore nikmat sunset coba coba renang pantai bahaya selamat main saran masker karna angin kencang pasir terbang,POSITIF
tempat aduhai syahduuu kala musim hujan estetique sekaliii,POSITIF
dagang mahal parkir k kalo beli minum tutup pasir terbang,NEGATIF
nuansa pantai romantis,POSITIF
candi prambanan aneh ga bosan penuh ajar oke belanja suvenir murah baget bugdet belanja mantul deh,POSITIF
tempat luas gwk bal tebing naik tangga jenis burung hantu foto tebing kebun bunga foto selfie latar pandang awan duduk jeep medan tantang lewat jalan bukit kolam air,POSITIF
yah mall cuci mata doang kl mo belanja mending swalayan aja dompet jerit njerit cari makan doang gak papa kali mantepan warmindo,NEGATIF
butuh jiwa,POSITIF
mall ter jogja megah luas lengkap bersihh mushollanya bersih bagus capek keliling mall,POSITIF
tempat rendang pohon danau perahu ajar anak rilek keluarga,POSITIF
suka seafood pantai depok cucok,POSITIF
wisata alam bagus wisata jogja kesini ya,POSITIF
bonbin pas sepi serasa milik,POSITIF
cari makan seafood macam bahan segar segar langsung nelayan,POSITIF
area kapitalis warga disamaratakan unjung,NEGATIF
pikir salah tuju bagus,POSITIF
seafood lengkap mentah mateng masak warung pinggir pantai,POSITIF
bagus bgt jg spot foto dr gunung tebing keren sinyal dukung wifi id wajib kesini tpi bagus sore foto sunset,POSITIF
barang ganti tgl janji maaf baik sistem kerja beda pelihara berfikir miskin etika tanggung sadar usaha makan hak nafkah orang gaji media media serta masyarakat enggan jasa,NEGATIF
kesana baca ulas gak,NEGATIF
pandang indah tebing breksi pilih refreshing keluarga libur,POSITIF
cocok habis pekan keluarga fasilitas pantai depok lengkap kedai kedai jual aneka hidang laut pasar jual aneka ikan segar,POSITIF
pantai aja makan ikan enak kiga sih harga nya mahal kayak restoran,NEGATIF
bagus dah nya kalo sore bagus makan seafood pinggir laut tambah akehan libur nya,POSITIF
jogja bay waterpark pilih wisata yogyakarta wisata budaya alam waterpark lokasi maguo citiy tawar agam seru main air wahana tarik waterpark jogja milik luas ha wahana air desain khusus tema kampung bajak laut nuansa tropis penuh tanam hijau ornamen ala bajak laut cocok rekreasi keluarga libur yogyakarta bay waterpark wahana atraksi wisata jenis jogja bay tinggal sedia agam wahana main air khas waterpark pilih tema bajak laut beda waterpark wahana main memo racer slider milik lintas tawar alam seru luncur bareng teman teman luncur lomba capai kolam ujung lintas bekti adventure bekti adventure ambil nama tokoh pimpin pasu keraton slider buka lingkar bawa unjung nikmat keliling waterpark jogja south beach kolam desain khusus simulasi gelombang ukur kolam luas unjung rasa sensasi ombak tsunami wahana bekti seluncur air lingkar tinggi sembari nikmat landsekap waterpark wahana brando boomerang hip playanground kolam main air cocok main anak anak main air seru seru keluarga wahana donte wild river lelah coba wahana lupa istirahat wahana biar tubuh rileks ikut alir sungai arus tenang wahana coba kampung bajak laut tau langsung kunjung wisata keluarga,POSITIF
sea food nya enak,POSITIF
bagus rekreasi keluarga kenal anak anak agam satwa,POSITIF
harga mahal,NEGATIF
oknum nakal bayar parkir x,NEGATIF
bagus banget tebing breksi bagus pandang alami sejuk mendung indah,POSITIF
tandain orang judes,NEGATIF
yg nikmat pantai makan seafood pantai depok raja,POSITIF
joss,POSITIF
layan muas pintu masuk pintu poko kapok,NEGATIF
ticket masuk bijak ticket masuk anak th sama orang dewasa jaga pintu masuk,NEGATIF
panas mahal htm dewasa ribu,NEGATIF
bawa makan minum unjung razia lo udah brp untung dr kelola,NEGATIF
pas pandemi siang bolong wow cetar banget panasnyaa beli topi warung souvenir area parkir luas debu ya tanah ga tau kaya gimana proses bangun area material bangun mana tugas helpfull arah ramah bebas poto puas explore megah tebing breksi sptnya paket tour jeep ga nanya sih lihat aja parkir jeep bawa pasu seragam kelompok rombong wisatawan atas spot foto buat lope an bunga an gitu dah ga poto situ jd gada dokumentasi next ken kesini pas malam cuaca cerah keren banget kalo malem pasti ga panas hehehee,POSITIF
bagus pusat ikan seafood kalo pantai nya aja bagus kuliner seafood,POSITIF
cocok banget beli oleholeh jenis ikan pasar lelang nya makan seafood bumbu sedap karcis k parkir k,POSITIF
tiket muahal wahana,NEGATIF
puas main air nya sejuk ga panas,NEGATIF
pandemi buka jalan protokol sehat ketat htm rb wisatawan domestik anak anak rb lupa sedia payung kalo siang panas poll,POSITIF
jaga pintu masuk rempong,NEGATIF
blum kelola jd murah,NEGATIF
kuliner pantai depok relatif murah saran beli ikan pasar ikan dekat warung rumah makan masak tarif ribu rupiah nasi bakul menu,POSITIF
kapal nelayan beli ikan segar langsung pas kapal darat,POSITIF
pantai luas kotor leluasa nikmat suara debu ombak berisik suara motor trail jeep atv aman pantai campur motor trail jeep atv,NEGATIF
luas bagus aman lokernya kolam ombak pokoke asiiikkk,POSITIF
kalo pergi pas weekdays enak banget sepi bebas foto masuk wisata wajib scan barcode peduli lindung ya biaya masuk orang rp,POSITIF
parkir mahal panen,NEGATIF
tiket k lumayan pantai,POSITIF
tutup lokasi jam malem kalo malem bagus banget pandang bawah sorot lampu oiya spot bagus bagus kudu sedia uang sukarela spot tiket masuk unjung kena tarif ribu rupiah nikmat sensasi jeep mobil kena tarif ribu rupiah foto burung hantu sana anak anak dewasa udara sejuk banget cocok lepas penat aktivitas hari,POSITIF
neng klo weekday ramah kantong,POSITIF
gembira loka zoo banding gembira loka laku pintu masuk pintu masuk belah barat sesuai standard protokol new normal cek suhu gelang tangan akses trans jogja henti halte kusumanegara sgm tanah kru trans jogja familiar sgm tiket masuk senin kamis rb jumat libur kecuali libur nasional sabtu minggu libur nasional rb kuota unjung batas reservasi online h usaha pagi bagi tiket cek reservasi loket barat bayar konfirm tiket reservasi loket timur tiket tiket kereta taring kapal katamaran puas kereta taring halte henti spot tarik anak badan bawah cm gratis pakai masker wajib sedia handsanitizer cuci tangan mana sewa kereta bayi sewa payung bawa kereta bayi naik kereta taring muat kadang bawa kereta bayi bawa makan minum kantin gl zoo harga jangkau sedia kran air minum untung ketemu gajah excercise jalan keeper nya kasih makan satwa usaha bawa air minum lansia saran pakai kursi roda keliling kereta taring lelah sayang ketemu zebra jerapah tahap renovasi kandang nya tugas ramah,POSITIF
cocok wisata keluarga,POSITIF
lacu,POSITIF
bulan sempat utk dtng pantai depok nikmat view pantai depok n makan seafoodnya,POSITIF
seru libur keluarga teman teman,POSITIF
pantai pasar ikan main ombak pilih ikan cari masak makan pantai tunggu masakan matang main ombak lapar langsung makan nikmat,POSITIF
harga tiket k latar aja lokasi candi keliling jalan kaki lumayan banget,POSITIF
tempat baguss bangett foto foto kesini sepi bangett karna pagi,POSITIF
kembang bersih rapi sayang koleksi satwa not bad ajak jalan anak,POSITIF
kamar bilas ga air,NEGATIF
harga tiket masuk rb terus borobudur rb dalam mini kebun binatang kasuari rusa merak kambing,POSITIF
bagus store uniqlo satu jogja keren store resmi the north face paham hehehe,POSITIF
gembira loka zoo buka laksana prokes aplikasi peduli lindung oktober wahana main buka kendaran transport kebun binatang operasi bis kereta kapal speed boat,POSITIF
ajaib dunia jaga lestari anak anak bangsa,NEGATIF
tempat gak awat kotor bauk,NEGATIF
harga tiket standart bersih sayang jam sore tutup,POSITIF
pantai yg kenal dg pasar seafoodnya harga yg jangkau utk masakan warung pinggir pantai pantai bs sewa tikar payung atv foto bayar pantai yg senang utk piknik,POSITIF
salah wisata baik yogyakarta cobain coba hidup,POSITIF
unjung nyaman tas digledah makan minum sita,NEGATIF
kenpa,NEGATIF
beda pantai yogyakarta alas utama pantai depok banyak makan menu masakan seafood pantai milik indah pantai depok ombak hantam pasir pantai deret perahu sampan nelayan sandar pantai letak selatan jogja kabupaten bantul tepat pantai kunjung belok kanan gerbang masuk pantai parangtritis jogja area dekat laboratorium gumuk pasir lebih pantai depok ilustrasi apik tugu patung nelayan atas perahu monumen wakil lokasi,POSITIF
pas kesini kabut viewnya bagus,POSITIF
candi nya bagus keren turist karna penasaran recomended banget jogja dateng kesini,POSITIF
pantai familiar warga lokal bantul favorit warga dekat nikmat pagi kabar udara pagi cocok terapi napas warga lokal bondong bondong kunjung pantai pagi bilang rutin minggu pagi fenomena puluh ini warga suka kunjung lama rerata jam pagi samping wisata pantai depok kenal wisata kuliner nya agam olah makan laut hasil nelayan warung makan layan masak ikan beli pasar ikan lokasi pantai aktivitas pantai riuh jual ikan warung makan nelayan ayal panjang pantai tambat perahu perahu mesin milik nelayan pagi wisatawan hibur aktivitas nelayan laut kerja nya kapal kapal motor lanjut arah selatan belah ombak dominan pantai depok jual makan pagi sate ayam bubur jajan nasi jual sayur gak takut lapar deh jual minum mes teh hangat aneka kopi saset harga jangkau khawatir mahal teh ribu kopi ribu bubur ayam ribu,POSITIF
tiket segitu kasih lif gausah capek tangga,NEGATIF
hal hal sejarah,POSITIF
pantai kotor banyak sampah bibir pantai tata wisatawan jalan kaki jalannan rusak hujan becek sedia pada,NEGATIF
worth it tiket harga ribu dewasa lingkung bangun sejarah hindu indah banget ajar sejarah hindu indonesia visit candi prambanan museum gratis masuk candi megah nan elok wahana main anak resto ibadah toilet dll pokok pada suasana panas lingkung candi prepare payung ya pakai sunblock candi sejuk pohon rindang paket candi prambanan borbudur prambanan ratuboko murah si nya pakai pakai nyaman lingkung kompleks candi luas banget tingkat kelola,POSITIF
jerapah zebra ga harga tiket week end rb bebas kereta keliling kapal puas,POSITIF
tempat kotor banget sampah,NEGATIF
kotor,NEGATIF
indah banget tempat kali kali kesini bosen bebenah latar breksi gaya batu gurun pasir kolam cantik luas parkir rapi pilih spot datang pindah pindah parkir spot spot jalan kaki parkir lokasi akses aman jalan turun tebing breksi pandu team tanjak tikung aman papas bus kendara jalan tanjak tikung overall mantaabz recommended,POSITIF
bad menu restonya harga sesuai mahal makan not recommended staf jaga ramah sorry,NEGATIF
recommended banget tempat selfi bareng teman keluarga,POSITIF
candi prambanan jl raya yogyakarta solo menit pusat kota yogyakarta biaya masuk candi prambanan rb orang pamdemi candi prambanan terap sistem protokol disiplin candi prambanan tarik kunjung segi sejarah bentuk bangun pandang tarik fasilitas lengkap mushola kamar mandi parkir luas area candi bersih,POSITIF
salah destinasi wisata bantul,POSITIF
akses warga,NEGATIF
pantai bagus sayang pas kesana ombak lg jd anak ga renang tp obat makan leseh mantep enak,POSITIF
makan seafood enak jogja langsung pandang laut temu jogja makan seafood kalap harga mahal kal kesini pas habis jam makan siang main tempat parangtritis gumuk pasir pantai depok langsung beli ikan pasar lupa nawar beli serah makan pinggir pantai sembari nunggu seafoodnya masak butuh sebentar main pantai nggak bete nunggunya,POSITIF
bagus bersih karyawan ramah,POSITIF
sampah tusuk sate ngeri kena kaki,NEGATIF
surga sea food lumayan sunset kotor tempat,POSITIF
banget htm baru k orang pantai sih bersih numpang makan rumah makan seafood enak,NEGATIF
candi nya baik akibat gempa baik,NEGATIF
wisata wajib kunjung dijogja,POSITIF
pantai legendaris salah baik jogja senang bangga tapak kaki indah pantai tritis debur kencang ombak wow keren unjung ramai banget nyebur laut kuda andong atv jeep tingkat bersih mesti tukang parkir dalam areal pantai bayar ulang ulang parkir mobil pindah pindah mesti unjung tarik retribusi pos bebas dalam areal pantai,POSITIF
pandang bagus cocok foto sunset,POSITIF
pantai keren enak rekreasi keluarga,POSITIF
nyari ikan,POSITIF
kampung halaman mertua,NEGATIF
nagus pandang pantai,POSITIF
mending k pangandaran smua gratis bayar makan doank,NEGATIF
pantai bagus utk senja kalo pagi rame ramai pagi drpd sore,POSITIF
keliling asik sambi binatang,POSITIF
tempa bagus hujan lihat sunrise okeee,POSITIF
nya asikk cuman panas banget,POSITIF
sekian kali pantai depok makan laut fresh harga jangkau lihat sunset keren,POSITIF
lelang ikan,NEGATIF
bagus libur pasar ikan tradisional langsung beli nelayan langsung,POSITIF
asyik spot foto nya bagus,POSITIF
kebun binatang saji indah alam jenis hewan saji unjung pulang wahana rekreasi keluarga bagus edukasi anak,POSITIF
saji pantai yg bagus perahu nelayan parkir rapi saji seafood yg,POSITIF
keren dah mall nya serba otomatis gak pencet masuk mall letak tangan bawah sensor hand sanitizer lift arah tangan nomor lantai tuju spot photo nya loh,POSITIF
estetik kagum biarpun awat nggak bosen kesini biarpun bolak bagus banget,POSITIF
alam pantai depok sayang pantai bagus santa pilih ikan seafood,POSITIF
jaga parkir ramah,NEGATIF
mantul,POSITIF
pantai bersih bnyk warung mkn pasar ikan jg,POSITIF
foto lebaran libur pantai ya allah indah syukur pantai pantai bagus klo libur jogja,POSITIF
dekat pantai parang tritis pantai parang sumo istimewa ter yap nikmat suasana pantai angin kencang nikmat wisata kuliner sedia olah hasil laut harga nya jangkau masakan enak asiknya sensasi nikmat makan tepi pantai unjung beli hasil laut ikan udang cumi kerang kepiting langsung masak pilih masak goreng tepung saus tiram asam manis bawa pulang tersdia ca kangkung minum khas pantai kelapa muda asyik banget,POSITIF
kolam ombak ombak seluncur kolam cinta cepet keren,POSITIF
sih,NEGATIF
tiket mahal,NEGATIF
