text,value
"Rapi dan bersih...
Cocok banget buat refreshing bersama keluarga dan kawan2...",POSITIF
Kampung nelayan dan pasar pagi ikan segar serta kuliner keluarga yang nyaman,POSITIF
"Tiket masuk 10 ribu, parkir 5 ribu roda 4, tersedia berbagai menu kuliner seafood. Tidak mengecewakan rasanya dan masih segar cumi dan udang yang kami pesan. Lain waktu akan mampir lagi.",POSITIF
Main air yang seru,POSITIF
Keren.. Cocok buat jalan anak2. Bawa sepeda juga klo bisa biar gak capek jalan2 sama anak..,POSITIF
Makanan lauk ikan laut sangat murah disiini,POSITIF
Petugas Pintu Keluar B tidak komunikatif. Minggu 7/7/19 siang kami hrs masuk kembali unt kembalikan kursi roda ke Pintu Keluar A.,NEGATIF
"Pertama kali datang dengan istri dan saudara. Cukup dengan google maps.
Dekat wisata candi prambanan.
Tiket murah. View pemandangan sangat bagus. Harga makanan di tempat wisata sangat murah. Para staf sangat ramah.",POSITIF
"Kali pertama main ke BonBin ?Ù÷
Untung ada keponakan jadi hebooh karena ada dia..
Pas banget kesini jam 12siang cuaca cerah.
Sayang pas kesini Harimaunya lagi boci
Aku saranin kesini pakai alas kaki yang nyaman, karena kita bakal explore yang ada didalam sini dan jalannya ngga rata gais, kita juga bakal naik turun tangga. ?Ù÷É
Tapi kalau kalian capek ada kok, Taring yang siap bawa kalian muter sampai Halte selanjutnya..
Ada juga foodcorner di dalam..
Bawa minum / makanan sendiri juga di bolehin, karena di awal masuk pintu loket kita cuma di cek suhu badan dan tiket masuk. Yang penting sampahnya di buang ke tempat sampah yang sudah disediakan oleh pihak GLZOO
Toiletnya bersih ?ÙÔ?ÙÈ
Salam Lestari",POSITIF
Keamanan untuk parkiran motor bisa dibilang buruk,NEGATIF
siang ini cukup panas dipantai depok parang tritis...tp cukup baik pemandangannya...oh ya kalo berkunjung kepantai depok parang tritis ada tempat swa poto...jk menggunakan poto sendiri dikenakan biaya 5000...sedangkan untuk difotokan oleh petugasnya sekitar 20 ribuan...untuk pinjam motor atp harganya 50 ribu untuk 20 menit...itu dulu ya..ulasannya...kalo tempat makan banyak tersedia disana tinggal pilih aja,POSITIF
Untuk pecinta seafood disini tempatnya ?Ù÷. Anda bisa membeli ikan segar langsung dari nelayan sehabis melaut jika anda datang di pagi hari. Banyak warung ditepi pantai yang bersedia mengolah ikan yang anda beli menurut selera anda.,NEGATIF
Sayang masih banyak yg buang sampah sembarangan,POSITIF
"Pantai untuk wisata kuliner,, view lumayan bagus kalau sore, bisa lihat sunset.",POSITIF
"Sudah persiapan bawa bekal & minum yang cukup buat anak2 namun Semua tas digeledah tidak boleh bawa makanan, terpaksa bekal di tinggal
ternyata kalo beli makan/ minum di dalam harganya tidak masuk akal /mahal, kasihan utk keluarga tidak yang bawa banyak uang karena
Harus menahan haus & lapar
Padahal bekal udah di siapkan
......",NEGATIF
"Tempatnya mantep banget,apalagi di malam hari",POSITIF
Tempat yang seru dan asik,POSITIF
Tempatnya nyaman menyenangkan ikannya fresh..  Tadi pagi nyobain di resto pondok kelapa enak dan murah..  ‰?•ü,POSITIF
"pantai lumayan bagus... sepanjang perjalanan banyak view bagus terutama pohon pohonnya yg membentuk lorong jadi rindang sekali, hanya saja masih terlihat bertebaran sampah plastik di pantainya, dan juga pantainya tidak bisa untuk berenang..... kalau mau mengejar sunrise atau sunset rekomended deh view nya... dipinggir pantai terdapat bekas landasan pesawat yg juga bisa dijadikan tempat swa photo juga..",POSITIF
Tempatnya bagus tp saya ingin memberi satu bintang saja karena saya jahat,NEGATIF
Dari segi Makanan di foodcourt (gajah resto) yang baru khususnya menu ayam goreng crispy gak fresh Keras dan dingin.ayam bakarnya juga gak fresh. Dingin. Tolong di perbaiki. Biar gak mengecewakan pengunjung.,NEGATIF
"Pantai pasir hitam .. Pantai x bersih ,, ombak x lmyn gde pas kmrin ksana ..",POSITIF
"Gembiraloka skrg beda sama yang dulu.bersih nyaman .gak rugilah main kesini
Oia utk hrga tiket itu sdh bebas naik kereta maupun kapal sepuasnya ya,sakjelehmu sak puasmu",POSITIF
"Ga nyangka aja cakep bangetttt tempatnya, di atas ekspetasi awal jauh.. ok banget lah ukuran indonesia uda kaya gini",POSITIF
"Biasanya aku ke sana buat makan ikan doank. Karena pantainya kurang indah kalo dibandingkan sama pantaiå? di Wonosari sana.
Di pantai Depok ini ada pasar ikan, di depan pasar juga banyak yang menawarkan jasa buat masakin. Kalau belom punya warung makan langganan tinggal pilih aja tapi kalo udah punya warung makan langganan, setelah belanja ikan bisa langsung ke warungnya.

Area pantai kalau menurut aku agak kurang bersih, banyak sampah. Di pantai juga banyak yang menawarkan payung tenda dan tikar buat dudukå? sembari memandang laut.",POSITIF
"Bagi pribadi saya masih banyak sampah dan kurang bersih = kurang nyaman, harusnya ini menjadi fokus dan perhatian penting untuk pihak pengelola.",NEGATIF
"3 tahun gak kesini, terakhir 2018, baru balik lg 2021 kemarin, banyak sekali pperkembangannya, banyak wahana baru nya, tapi tolong ditambahkan lg vegetasi di wahana2 baru nya, panas bgt gak ada pepohonan rindangnya ?Ù÷?",POSITIF
Pantai nya Asyik tp masih kurang sarana hiburan kayak kolam renang yg di parangtritis.....di sini hanya menyajikan makanan laut dan lainnya,POSITIF
Karna mahal sekali,NEGATIF
Skrg agak kotor dan krg menarik,NEGATIF
"Di sini sdh bayar tiket mahal
Nggak boleh bawa makanan dan minuman masuk , barang bawaan di tahan malah pas pulang lupa ya lumayan banyak sih nilai jajanya
Mending ke water bom di sukoharjo boleh bawa makan minum",NEGATIF
lama tidak makan seafood khas depok..,POSITIF
"Pelayanan sangat sangat baik, tas anak saya ketinggalan dipenitipan. Keesokan harinya masih bisa diambil dengan bantuan karyawan di pos penjaga, dengan diantar naik motor.
Layanan Whatsapp juga direspon dengan baik dan sangat cepat.
Lokasi yang sangat luas namun tidak terasa capek saat mengelilinginya.
Terimakasih",POSITIF
Pantainya bersih dan terdapat pasar ikan yang menjual dengan harga murah,POSITIF
"Pantai untuk orang orang yang suka makan seafood.
Beli matengan langsung juga bisa, request mau di masak apa juga bisa. (Ya sama di lokasi pantai lainnya).
Sekarang sudah mulai buka beberapa warungnya, tidak seramai sebelum pendemi ini. yang penting tetap jaga jarak, kebersihan dkk ya kalau mau berkunjung.",POSITIF
"Bagus view nya. Batu batu besar yang alami. bagus..  Tapi jalan ke lokasi agak sempit dan menanjak.

Ada fasilitas mobil jeep. Bayar 315 rb bisa visit ke bbrp lokasi wisata lain.  Candi dan tebing batu alami.

Pelayanan jeepnya cukup bagus. Informatif dan membantu foto foto. Hasilnya bagus.

Cuma jeep nya agak lawas.. Kuatir aja. Tapi infonya setiap 3 bulan ada pengecekan mesin rutin.
Resto juga ada..

Silahkan...",POSITIF
"Banyak copetnya, HP di kantong kok bisa ilang. Keamanannya payah.",NEGATIF
"Tempatnya sangat luas, untuk Htm dewasa 50 ribu. Protokol kesehatan cukup baik. Di sana juga terdapat candi-candi lain, tapi kalau jalan kaki agak jauh, di sana ada wahana-wahana seperti panahan, kursi gantung, sepeda layang, dan juga rusa-rusa yang boleh diberi makan.",POSITIF
"Candi bersejarah yaa..banyak ilmu..banyak peninggalan...untuk belajar anak anak

Klo mau wisata area Jogja Jateng DIY Gunungkidul atau Magelang japri aja bisa diantar 089674337339",POSITIF
Pantai yg selalu jadi kenangan manis.,POSITIF
Sedang ttp,NEGATIF
Nggak bagus,NEGATIF
"Harga weekend 75 rb / orang.anak"" di bawah 80 cm gratis. Free naik kereta dan kapal. Hewanya banyak tapi sepertinya gak sebnyak dlu. Parkiran luas. Mungkin karna masih pandemi dan baru buka jadi kantin"" gak buka..",POSITIF
"Bagus, bersih, terawat. Sarana edukasi dan rekreasi yang bagus untuk anak-anak.

Arsip foto sebelum pandemi, semoga bisa bertemu lagi.",POSITIF
Mengesankan sebuah bangunan sejarah,POSITIF
"Lokasi mudah di temukan karena dipinggir ringroad, banyak warungÂ² tepat diluar Mall, parkiran luas, prokes terlaksana, tidak terlalu padat pengunjung sehingga dpt dengan leluasa berbelanja atau pun sekedar untuk nongki halanÂ²ðŸ¥°ðŸ˜‚",POSITIF
"Mall luas banget itung itung work out, outletnya banyak banget, tapi kesini cuma nyari uniqlo",POSITIF
Fasilitas tempat tunggu harus bayar,NEGATIF
Tempat kurang rapi,NEGATIF
"masuk sangat mahal (40rb) utk penduduk Jogja dan Jateng hrg segitu terlalu mahal (ump jauh dibawah Jakarta)
- sudah mahal, segala sesuatu didalam bayar lagi :kereta, sepeda, foto tematik, video visual prambanan dll
- pemda dan pemerintah seharusnya membuat harga lbh terjangkau utk masyarakat umum. Jangan mengeruk keuntungan dari masyarakat menengah bawah (paling banyak berkunjung)",NEGATIF
pantai yang kudatangi sejak kecil ?Ù´¡,POSITIF
Harga Tiketnya Rp.35 000 lumayan mahal bagi kalangan bawah beda jauh dengan RAGUNAN yang ada diJAKARTA cuma Rp 5000..untuk sekelas kebun binatang,NEGATIF
Pemeliharaan hewan kurang maksimal.. Banyak hewan yang kepanasan dan kelaparan tidak ada makanan dan minuman didalam kandang.. Tolong untuk lebih diperhatikan lagi.. Kasian terlebih orang hutan.. Macan.. Kuda nil.. Rusa.. Burung unta dan merak.. Tanami pepohonan disekitar kandang agar tidak kepanasan. Sekian terimakasih semoga ada perubahan untuk kunjungan selanjutnya. Aamiin,NEGATIF
"Pantai selatan selain pantai Parangtritis. Samaå? berpasir hitam.. biasanya kalau ke pantai Depok tujuannya untuk kuliner seafood. Betul karena memang disini banyak warung makan yang khusus menyajikan olahan hasil laut. Begitu juga dengan adanya TPI (Tempat pelelangan ikan). Parkir di pantai ini cukup luas sudah tersedia dengan baik. Masuk ke pantai ini akan dikenai biaya retribusi, parkir.
Lokasi pantai ini, belok kanan sebelum TPR masuk ke pantai Parangtritis.",NEGATIF
Pantaimya cocok buat santai.,POSITIF
"Semoga pandemi lekas usai, kasihan warganya, yang ke sini jangan lupa beli gorengan ikan lautnya mantap. Just info, kata warga sekarang kondisi pantai rame kalau hari sabtu dan ahad",POSITIF
"Walaupun sudah berkunjung berkali kali, tetap tidak membosankan
Selalu ada cerita disini
Recommended buat wisatawan yang suka Selvi",POSITIF
"Candi Prambanan merupakan salah satu destinasi wisata yang sangat sayang jika tidak kita kunjungi saat berwisata di Klaten maupun di Jogjakarta. Candi Prambanan sangat terawat dan sangat bersih sehingga nyaman sekali untuk dikunjungi bersama keluarga. Banyak spot foto yang menarik, ada panggung untuk pementasan sendratari Ramayana, dan di Prambanan juga biasanya menjadi tempat untuk menggelar konser-konser besar bertaraf nasional bahkan internasional. Tiket masuk sesuai dengan apa yang kita dapatkan saat masuk ke candi Prambanan. Oke banget. Lokasinya asri dan sejuk. Fasilitas seperti mushola dan toilet tersedia di area sekitar candi. Pada akhir perjalanan nanti akan dilewatkan toko-toko sovenir dan oleh-oleh. Jadi jangan lupa untuk berkunjung ke Candi Prambanan, ya!!! Selamat berlibur!! ;)",POSITIF
"Pantainya bagus, banyak hiburannya. Ada jeep, atv, bendi, kolam renang. Ada persewaan tikar tempatnya sejuk dibawah pohon cemara untuk bersantai",POSITIF
sangat kecewa dengan peraturan saat ini,NEGATIF
Indah banget,POSITIF
"Sudah buka, tiket masuk terjangkau, pada saat masuk ke lokasi diwajibkan untuk scan aplikasi PeduliLindungi.

Tidak terlalu ramai, Pemandangan pada saat pagi atau sore sangat apabila sedang cerah sangat indah, tersedia petugas yang akan membantu untuk mengambil gambar dan diarahkan pada spot dan pose yang oke",POSITIF
Yang saya suka di pantai Depok ya kuliner sea food nya,POSITIF
Lama tidak kesini jadi kangen suasana Jogja,POSITIF
Sangat banggga,POSITIF
Kurus2 binatangny..kurang rawat,NEGATIF
"Secara umum oke,bersih,rapi, tapi Mahal tiketnya , jogja kota pelajar . Kasihan anak2 desa. Maaf untuk ekonomi menengah kebawah, terlalu mahal . mohon pihak terkait di kaji ulang ini wisata edukasi harusnya",NEGATIF
Biasa aja..cm bt selfi,NEGATIF
"Tempatnya bagus, tiket masuknya gak terlalu mahal, 10,000/orang. Banyak spot foto bagus gak dipakein tarif, hanya tip seiklasnya. Recommended buat tujuan wisata di jogja",POSITIF
"Petugas penyitaan makanan buruk. makanan dilarang masuk, minta dititipkan, dikasih nomor titipan, setalah mau diambil udah hilang makanannya. Petugas tidak bertanggung jawab!",NEGATIF
Kadang harus teliti beli/jasa masak di warung2.,NEGATIF
"Pantai Depok merupakan objek wisata alam yang terletak diåÊKabupaten Bantul, Provinsi DIY, sekitar tiga puluh kilometer di sebelah selatan kotaåÊYogyakarta. Pantai ini juga berdampingan denganåÊPantai ParangtritisåÊdanåÊPantai Parangkusumo.",NEGATIF
Pemandanganya bagus enaknya lagi kita bisa beli ikan segar dan bisa lansung dimasak loh sesuai selera banyak pilihan menu makanan yang ada di rumah makan pantai depok ðŸ˜ðŸ˜ðŸ˜,POSITIF
"Pantainya memang tidak sebagus di Gunung Kidul, tapi disini banyak tempat makan seafood yang enak ?Ù÷",POSITIF
Pantai yang indah banyak gugusan pantai yang lainnya.jdi ketika sampai di pantai depok kita bisa ke pantai pantai lainnya yang berdekatan dengan pantai depok,POSITIF
Pantai pasir hitam,POSITIF
Meriah,POSITIF
"Kunjungan sangat kurang memuaskan karena pengunjung membayar tiket masuk tapi kondisi jalan yang becek dan kurang baik  drainasr, selain itu tidak diberikan pelayanan prima dengan kondisi hujan yang sangat deras tidak diberikan pelayanan gratis kereta keliling untuk ke pintu keluar. Tolong menjadi perhatian pelayanan pada saat kondisi cuaca buruk, kemudahan akses transportasi ke pintu keluar.",NEGATIF
Not recommended untuk sekarang.. kebersihan airnya sangat kurang sekali..  abis dr sini kulit ruam parah.. tolong dibenahi perawatannya khususnya kebersihan airnya..,NEGATIF
kenyamanan pengunjung kurang diperhatikan,NEGATIF
"Parkir sangat Mahal, Harga Tiket sangat sangat sangat tidak sesuai dengan fasilitas di objek wisata yang kita kunjungi ...",NEGATIF
"Mall oke, besar dan lengkap. Malam ini, selasa 23/4/2019 pukul 20.40 saya baru pulang dari hartono mmall.Sayaturis dari bandung, masuk parkir dengan bingung karena tidak ada yang memberi petunjuk, hanya ada petugas security. Parkiran depan parkson terlihat kosong, kami parkir situ, saat keluar kami tanpa curiga keluar dari pintu keluar pertama yang kita lihat, saat bayar 20rb untuk 1.5 jam parkir!!! Saat ditanya petugas bilang parkir VIP kalo diatas dan gga turun basement tarif flat 20rb, saya ngotot ko ga da yang kasi tau atau tulisan, petugas penjaga portal berkacamata kulit gelap ngotot bilang ada tulisan di tiap pilar, tapi kami yakin tidak ada di depab parkson, yang ada tulisan VIP itu depan lobi utama. Yang jadi masalah :
1. Petugas ngeyel, dan seperti marah pada kami saat kami ngotot ngga ada tulisan karena memang tidak ada tulisan didepan parkson.
2. Tidak ada petugas satupun yang mengarahkan. Bahkan security yang jaga pintu masuk males2an dan menguap, 2 pintu masuk hanya dijaga satu screening security.

Benar2 kesal, terutama dengan petugas bayar parkir yang adu mulut dengan kita dan ngotot ada tulisan depan parkson. Misalkan dia bilang oh ya maaf nanti kami cek lagi tulisannya, saya pasti bilang ok, gpp. Karena dia ngeyel saya jd ajak adu argumen.",NEGATIF
Akses parkir basement cuma 1. Payah. Ngantri mau masuk ke parkir basement aja udah setengah jam lebih. Belum nyari spot parkirnya. Payah!,NEGATIF
"Sekarang tebing breksi sudah jauh lebih baik dari segi pelayanan, tempat parkir, toilet, mushola, tempat foto, dan akses nya sudah di permudah dan segi keamanan nya sangat baik, apalagi di masa covid seperti ini disana sudah sangat prokes bgt dah pokoknya aman klo mau berkunjung kesana.",POSITIF
"Satwa"" banyak yang tidak terawat,, terkadang ada satwa yang berlumut",NEGATIF
"Sangat menyenangkan liburan bersama keluarga di GL Zoo,, Anak-anak bisa melihat semua jenis hewan yang ada di GL Zoo,, dan bermain dengan puasnya...",POSITIF
"Tempat Seafood terbaik
Harganya luarbiasa ramah dikantong dengan rasa yang diluar ekspektasi. Sangat berkesan",POSITIF
"Mantappp. For the first time setelah 3,5 tahun dijogaja. Padahal kost dekat banget sama tempat ini. Tiketnya lagi promo cuma 25k, tp karna itu juga ga semua wahan dibuka but its okay sudah cukup memuaskan untuk saya. Cuma buka waktu weekend aja. Pengalaman yang sangat keren dah. Semoga bisa kesini lg nanti, tp saat pandemi selese dan wahan buka semua.",POSITIF
"Managemen sangat mengecewakan , janjian datang  1 bus besar walaupun sdh tahu jam masuk bus dan jam tutup wahana terlalu singkat tetap saja reservasi dan uang tiket diterima tanpa adanya warning , ujung2nya rombongan baru masuk seluruh wahana langsung di closed operasionalnya . Uang tiket 1 bus hanya bisa dinikmati dengan ganti baju di ruang ganti . Sungguh sangat kecewa sekali",NEGATIF
"Istimewa, wahana berenang terlengkap dan terbesar no 3 di asia. cuma kebersihan kurang dilokasi mandi dan bilas",POSITIF
"Ombak datang saling bersahut-sahutan satu sama lain...,
Suara dentuman ombak yang menenangkan...,
Angin semilir yang menerpa tubuh...,
Menjadikan suasana hati menyenangkan...",POSITIF
"Seru poll abis, tpi sayang karena koronces jadi cuma buka 1 menara seluncur doang. Suka yang ombak. Puas deh. Pelayanan termasuk lengkap. Banyak jg yang jualan disana, burger, ayam, dll.",POSITIF
Ga bagus tempatnya mending yang lain aja pantai atau tempat lainnya,NEGATIF
"Banyak spot photo disini, dan mereka punya booth buat photo jd keren.. mantull",POSITIF
"wisata pantai di bantuk dengan ketersediaan hasil ikan laut yang cukup melimpah
retribusi masuk 10rb termasuk ke pantau parangtritis",POSITIF
Asik..seruu..murah meriah,POSITIF
"Tempat wisata yang cukup indah dengan pasir pantai yang khas. Ada tempat pelelangan ikan juga, dan bisa langsung dimasak ditempat.
Disarankan untuk lebih berhati-hati ketika memilih tempat untuk memasak ikan. Karena akan ada banyak yang menawarkan jasa untuj memasak ikan di TPI.",POSITIF
tempat yang cocok regresing bersama keluarga tercinta,POSITIF
Pantai ini sudah terlalu ramai kalau liburan. Kalau pengen sepi mending weekdays sih. Kalo pagi sebelum jam 7 emang bener2 syahdu.,POSITIF
"Salah satu ikon kota Jogja selain borobudur. Di area ini selain candi prambanan ada candi lumbung. Candi bubrah dan candi sewu.
Ini foto di candi sewu",POSITIF
"Ada pasar ikannya, bisa beli di pasar lalu minta dimasakkan, atau langsung pesan ke tempat makannya",POSITIF
Candi Prambanan massa pandemik tidak Boleh pengunjung untuk masuk kedalam arca di kwatirkan bisa rusak ,NEGATIF
Pantai yang dilengkapi dengan bakaran ikan...apalagi suasana sore hari ....hmmmm passs buanget,POSITIF
"Mall besar di Jogja, tidak terlalu susah cari parkir. Di masa pandemi sebelum masuk scan dulu di aplikasi PeduliLindungi",POSITIF
Cocok buat wisata sama keluarga dan berburu seafood segar harga miring,POSITIF
sepi jadi enak,POSITIF
"Pantai Depok suasana pantai nya indah, ada pasar ikannya di sana , sehingga bisa belanja ikan laut dan bisa dimasakin juga di beraneka ragam warung, rapi harus hati2 saat pesen untuk memasakkan sea food nya, karena banyak pemasak nakal yang memberikan harga di atas wajar nya....

Sedih tadi kena tipu saat memasarkannya.....
Semoga saja berkah untuk uang jual",NEGATIF
seperti umum nya pantai di kita..kotor tidak di kelola dengan baik..hanya di urus parkir nya saja..sayang,NEGATIF
kurang menarik & kurang lengkap,NEGATIF
"Asik main seluncuran disini, bayar loker 30k",POSITIF
"Tempatnya luass, ada kaya sungai gtuuu, wahananya jg banyak",POSITIF
"Rame kalau sore, pantainya banyak sampah. Untuk menikmati seafood juga sudah sangat lumayan. Cumi 1/4 kg bisa untuk 2 orang sudah kenyang. Ada banyak banget penjual ikan dan makan di tempat ini, tinggal pilih yang mana. Hari-hari biasanya mungkin banyak yang tutup, kalau hari libur pada buka semua penjualnya. Cocok nya ke sini kalau sore buat menikmati sunset. Jangan coba coba berenang di pantai, bahaya buat keselamatan. Kalau main ke sini sangat disarankan menggunakan masker, karna anginnya sangat kencang dan pasirnya banyak terbang",POSITIF
Tempatnya aduhai syahduuu sekali dikala musim hujan... Estetique sekaliii...,POSITIF
"Pedagang agak mahal, parkir 5k, kalo beli minuman harus ada tutupnya soalnya pasir pasti terbang2",NEGATIF
seperti nuansa pantai pada umumnya. romantis,POSITIF
"Sudah sering ke Candi Prambanan hampir setiap tahun ke sini tapi anehnya ga pernah bosan,penuh pembelajaran dan yang paling oke tempat belanja suvenirnya yang murah baget,dengan bugdet sedang bisa belanja banyak ...mantul deh...",POSITIF
"Tempatnya luas, mirip di GWK Bali namun tebingnya bisa dinaiki. Di tangga pertama ada berbagai jenis burung hantu yang bisa difoto. Di atas tebing ada kebun bunga serta banyak tempat untuk berfoto selfie dengan latar pemandangan seperti di atas awan dan tempat duduk. Ada juga yang menggunakan jeep dengan medan yang cukup menantang, melewati jalanan bukit, juga kolam air.",POSITIF
